Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Award_Name,Award_Category,Award_Year,Won
Star Wars,1977,"Action, Adventure, Fantasy",121 min,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Oscar,Best Director,,False
The Day of the Jackal,1973,"Crime, Drama, Thriller",143 min,7.8,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",Oscar,Best Actor,,True
Casino,1995,"Crime, Drama",178 min,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Cannes,Best Screenplay,2008.0,False
The Man from Earth,2007,"Drama, Fantasy, Mystery",87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,BAFTA,Best Actor,2014.0,
Miller's Crossing,1990,,,7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Golden Globe,Best Cinematography,2004.0,False
Bãhubali: The Beginning,2015,"Action, Drama",159 min,8.0,,BAFTA,Best Screenplay,2001.0,
On the Waterfront,1954,"Crime, Drama, Thriller",108 min,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Golden Globe,Best Actor,2009.0,False
Dev.D,2009,"Drama, Romance",144 min,8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Cannes,Best Director,2010.0,False
Dev.D,2009,"Drama, Romance",144 min,8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Cannes,,2014.0,
True Grit,2010,"Drama, Western",110 min,7.6,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Oscar,Best Actress,2014.0,True
The Perks of Being a Wallflower,2012,"Drama, Romance",103 min,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,,Best Cinematography,2018.0,False
Le salaire de la peur,1953,"Adventure, Drama, Thriller",131 min,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",BAFTA,Best Director,,True
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131 min,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",,Best Director,2004.0,False
Solaris,1972,"Drama, Mystery, Sci-Fi",167 min,8.1,,,Best Actress,2018.0,True
Scent of a Woman,1992,Drama,156 min,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Oscar,,,
