Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
Star Wars,1977,"Action, Adventure, Fantasy",,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",164000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gray PLC,,,Male,Slovenia,1950.0,
Dawn of the Dead,1978,,127 min,7.9,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Blackburn-Ortiz,Fall,Roy Taylor,Male,Sierra Leone,1986.0,3.0
The Day of the Jackal,1973,"Crime, Drama, Thriller",143 min,,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",7000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Miller-Frank,Winter,Juan Martin,Male,Myanmar,1969.0,9.0
Harvey,1950,"Comedy, Drama, Fantasy",104 min,7.9,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",190000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,,Jeffrey Smith,,Bhutan,1981.0,13.0
After Hours,1985,"Comedy, Crime, Drama",97 min,7.7,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,71000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones-Chaney,Spring,Madison Clark,Female,Japan,1956.0,2.0
Toy Story 4,2019,"Animation, Adventure, Comedy",100 min,7.8,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",63000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bonilla, Knight and Villarreal",Winter,Bryan Walker,Male,Turkey,1985.0,3.0
Casino,1995,,178 min,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",58000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Molina Inc,Spring,Carrie Garza,Non-binary,Saint Barthelemy,1951.0,4.0
Eastern Promises,2007,"Action, Crime, Drama",100 min,7.6,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,36000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Atkins-Bailey,Spring,Jacob Lewis,Non-binary,Sri Lanka,1940.0,11.0
The Man from Earth,2007,"Drama, Fantasy, Mystery",87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,189000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Castillo-Anderson,Fall,Peter Maldonado,Non-binary,Turkmenistan,1987.0,9.0
A Few Good Men,1992,"Drama, Thriller",138 min,7.7,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,27000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Martinez Ltd,Summer,Shane Miranda,Non-binary,Central African Republic,,10.0
Taare Zameen Par,2007,"Drama, Family",165 min,8.4,,174000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Snow, Powell and Rodriguez",Spring,,,Saudi Arabia,,14.0
Udaan,2010,Drama,134 min,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",190000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Pearson-Zavala,Spring,,Non-binary,,1958.0,6.0
The Illusionist,2006,"Drama, Fantasy, Mystery",110 min,7.6,,140000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Spring,,Female,Brunei Darussalam,1976.0,16.0
Miller's Crossing,1990,,115 min,7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Becker LLC,Summer,John Fisher,Non-binary,Jersey,1983.0,15.0
The Game,1997,"Action, Drama, Mystery",129 min,,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",152000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Munoz, Petersen and Cisneros",Summer,,Male,Cuba,1988.0,11.0
Bãhubali: The Beginning,2015,"Action, Drama",159 min,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",109000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Keller-Montgomery,Spring,Olivia Hart,,,1952.0,15.0
A Bronx Tale,1993,"Crime, Drama, Romance",121 min,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,9000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Walker PLC,Summer,Ashley Henry,Female,Grenada,1951.0,3.0
La leggenda del pianista sull'oceano,1998,,169 min,8.1,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",8000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Phillips Ltd,Summer,Joel Gay,,Costa Rica,1979.0,14.0
50/50,2011,"Comedy, Drama, Romance",100 min,7.6,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",24000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Holder-Frye,,Dr. Karla Chambers MD,Male,Montserrat,1980.0,14.0
À bout de souffle,1960,"Crime, Drama",90 min,7.8,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",56000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Schmitt-Collins,Winter,Patrick Mccoy,Male,Burkina Faso,,10.0
On the Waterfront,1954,"Crime, Drama, Thriller",108 min,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,60000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Spring,Richard Reynolds,Non-binary,Netherlands Antilles,1967.0,2.0
La vie d'Adèle,2013,"Drama, Romance",180 min,7.7,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Porter Ltd,,Brent Roberts,Non-binary,Sweden,1972.0,9.0
When Harry Met Sally...,1989,,95 min,7.6,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",155000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bishop Ltd,Winter,Sean Case,Male,Malawi,,1.0
Psycho,1960,"Horror, Mystery, Thriller",109 min,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",,,<function <lambda> at 0x00000168A43CA0C0>,Davidson-Blankenship,Fall,,Non-binary,North Macedonia,1945.0,3.0
Hell or High Water,2016,"Action, Crime, Drama",102 min,7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,,<function <lambda> at 0x00000168A434E0C0>,,"Nelson, Perry and Blair",Fall,Michael Farrell,Female,Brazil,1965.0,0.0
