Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
After Hours,1985,"Comedy, Crime, Drama",97 min,7.7,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Libyan Arab Jamahiriya,2013-12-02,,PG-13
After Hours,1985,"Comedy, Crime, Drama",97 min,7.7,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Uzbekistan,2018-09-03,,G
Eastern Promises,2007,"Action, Crime, Drama",100 min,7.6,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,Dominica,2014-12-18,Quality-focused coherent conglomeration,R
The Man from Earth,2007,"Drama, Fantasy, Mystery",87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,Guatemala,2023-10-12,,R
Udaan,2010,Drama,134 min,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vietnam,2023-07-29,Horizontal contextually-based strategy,G
Miller's Crossing,1990,"Crime, Drama, Thriller",115 min,7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",France,1996-02-12,,PG-13
Bãhubali: The Beginning,2015,"Action, Drama",159 min,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Croatia,2010-06-17,Fully-configurable maximized core,PG
A Bronx Tale,1993,"Crime, Drama, Romance",121 min,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Sierra Leone,2001-03-23,Progressive multi-tasking capability,NC-17
50/50,2011,"Comedy, Drama, Romance",100 min,7.6,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",India,1999-09-20,,Unrated
On the Waterfront,1954,"Crime, Drama, Thriller",108 min,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Eritrea,2000-05-18,,Unrated
Night of the Living Dead,1968,"Horror, Thriller",96 min,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Nepal,2001-02-21,,NC-17
True Grit,2010,"Drama, Western",110 min,7.6,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Central African Republic,2015-01-28,Managed discrete forecast,Unrated
A Hard Day's Night,1964,"Comedy, Music, Musical",87 min,7.6,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",French Polynesia,2001-07-11,,NC-17
Shichinin no samurai,1954,"Action, Adventure, Drama",207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Colombia,2018-09-17,,PG-13
Relatos salvajes,2014,"Comedy, Drama, Thriller",122 min,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,Chile,1995-11-19,,R
1917,2019,"Drama, Thriller, War",119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Palau,2021-07-03,,Unrated
1917,2019,"Drama, Thriller, War",119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Zimbabwe,2004-07-27,Monitored radical project,Unrated
Creed,2015,"Drama, Sport",133 min,7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Slovenia,2007-09-20,,G
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201 min,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Taiwan,2001-01-27,,R
Manbiki kazoku,2018,"Crime, Drama",121 min,7.9,A family of small-time crooks take in a child they find outside in the cold.,Sri Lanka,2009-06-29,Distributed context-sensitive collaboration,NC-17
Rebel Without a Cause,1955,Drama,111 min,7.7,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Samoa,2022-06-09,,PG-13
Dogville,2003,"Crime, Drama",178 min,8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",France,2021-03-22,,R
Serbuan maut,2011,"Action, Thriller",101 min,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Senegal,2004-08-09,De-engineered user-facing architecture,Unrated
The Truman Show,1998,"Comedy, Drama",103 min,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,Gabon,2004-08-03,,PG-13
Carlito's Way,1993,"Crime, Drama, Thriller",144 min,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Lithuania,2016-01-16,,PG-13
Fight Club,1999,Drama,139 min,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Grenada,2002-04-27,,PG-13
Pink,2016,"Drama, Thriller",136 min,8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Turks and Caicos Islands,2001-11-12,,PG
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",107 min,7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Mali,2008-09-25,Team-oriented didactic matrix,G
Salinui chueok,2003,"Crime, Drama, Mystery",131 min,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Myanmar,2009-01-27,,PG-13
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",117 min,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Chile,1998-03-26,,R
Dallas Buyers Club,2013,"Biography, Drama",117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Guernsey,1996-02-11,Devolved modular paradigm,R
Dil Bechara,2020,"Comedy, Drama, Romance",101 min,7.9,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",Papua New Guinea,2012-04-19,,PG-13
Schindler's List,1993,"Biography, Drama, History",195 min,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Ethiopia,2004-08-26,Diverse fault-tolerant workforce,G
