Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
Star Wars,1977,"Action, Adventure, Fantasy",121 min,,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Shawna Lawson,Male,Slovenia,1950.0,15.0
Dawn of the Dead,1978,"Action, Adventure, Horror",127 min,7.9,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",Roy Taylor,Male,Sierra Leone,1986.0,3.0
The Day of the Jackal,1973,"Crime, Drama, Thriller",143 min,7.8,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",Juan Martin,Male,Myanmar,1969.0,
Harvey,1950,"Comedy, Drama, Fantasy",104 min,7.9,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Jeffrey Smith,Male,,1981.0,13.0
After Hours,1985,,97 min,7.7,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Madison Clark,Female,Japan,1956.0,2.0
Toy Story 4,2019,"Animation, Adventure, Comedy",100 min,7.8,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Bryan Walker,Male,Turkey,1985.0,3.0
Casino,1995,"Crime, Drama",178 min,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Carrie Garza,Non-binary,Saint Barthelemy,1951.0,4.0
Eastern Promises,2007,"Action, Crime, Drama",100 min,,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,Jacob Lewis,Non-binary,Sri Lanka,1940.0,11.0
The Man from Earth,2007,,87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,Peter Maldonado,,,,9.0
A Few Good Men,1992,"Drama, Thriller",138 min,,,,Non-binary,Central African Republic,1961.0,10.0
Taare Zameen Par,2007,"Drama, Family",,,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Anthony Watts,Male,Saudi Arabia,1990.0,14.0
Udaan,2010,Drama,134 min,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",,Non-binary,Bulgaria,1958.0,6.0
The Illusionist,2006,"Drama, Fantasy, Mystery",110 min,7.6,,Carol Dean,Female,Brunei Darussalam,1976.0,16.0
Miller's Crossing,1990,,115 min,7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",John Fisher,Non-binary,Jersey,,15.0
The Game,1997,"Action, Drama, Mystery",129 min,7.8,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",Rebecca Lewis,Male,Cuba,1988.0,
Bãhubali: The Beginning,2015,"Action, Drama",159 min,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Olivia Hart,Non-binary,Svalbard & Jan Mayen Islands,1952.0,15.0
A Bronx Tale,1993,"Crime, Drama, Romance",121 min,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Ashley Henry,Female,Grenada,1951.0,3.0
La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance",169 min,8.1,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Joel Gay,Male,Costa Rica,1979.0,14.0
50/50,2011,"Comedy, Drama, Romance",100 min,,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",,,Montserrat,1980.0,14.0
À bout de souffle,1960,"Crime, Drama",90 min,7.8,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",,Male,,1965.0,10.0
