Series_Title,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season
Star Wars,164000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gray PLC,Winter
Dawn of the Dead,29000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Blackburn-Ortiz,Fall
The Day of the Jackal,7000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Miller-Frank,Winter
Harvey,190000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wright, Wong and Arellano",Fall
After Hours,71000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones-Chaney,Spring
Toy Story 4,63000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bonilla, Knight and Villarreal",Winter
Casino,58000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Molina Inc,Spring
Eastern Promises,36000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Atkins-Bailey,Spring
The Man from Earth,189000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Castillo-Anderson,Fall
A Few Good Men,27000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Martinez Ltd,Summer
Taare Zameen Par,174000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Snow, Powell and Rodriguez",Spring
Udaan,190000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Pearson-Zavala,Spring
The Illusionist,140000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Moore, Jackson and Harvey",Spring
Miller's Crossing,23000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Becker LLC,Summer
